_id,name,type,lat,lon,diameter_km,source,description
mare_tranquillitatis,Mare Tranquillitatis,mare,8.5,31.4,873.0,IAU/USGS,"The Sea of Tranquility is a large lunar mare located on the near side of the Moon. It is composed of dark basaltic rock formed by ancient volcanic eruptions. Apollo 11, the first crewed lunar landing mission, touched down on its surface on 20 July 1969. The landing site, known as Statio Tranquillitatis (Tranquility Base), lies at 0.67°N, 23.47°E."
mare_serenitatis,Mare Serenitatis,mare,28.0,17.5,707.0,IAU/USGS,"The Sea of Serenity is a circular lunar mare northeast of Mare Tranquillitatis, occupying an ancient impact basin roughly 707 km across. Its basaltic surface has a slightly higher titanium content than neighbouring maria, visible as subtle colour differences in multispectral imagery. Apollo 17, the final crewed lunar landing, landed at Taurus-Littrow on its southeastern rim in December 1972."
mare_imbrium,Mare Imbrium,mare,32.8,-15.6,1123.0,IAU/USGS,"The Sea of Rains is the second-largest lunar mare and one of the most prominent dark regions visible from Earth. It fills the Imbrium impact basin, which formed about 3.9 billion years ago in the Late Heavy Bombardment. The basin's circular mountain rings — the Montes Apenninus, Caucasus, and Alpes — frame the mare like a natural amphitheatre. Apollo 15 landed near the Apennine foothills in July 1971."
mare_crisium,Mare Crisium,mare,17.0,59.1,555.0,IAU/USGS,"The Sea of Crises is a notably oval lunar mare on the northeastern limb of the near side. Its isolation from other maria and its unusually smooth floor make it one of the most visually distinct features of the lunar disc. Soviet robotic mission Luna 24 collected regolith samples from Mare Crisium in 1976, the last robotic sample-return mission from the Moon until China's Chang'e-5 in 2020."
oceanus_procellarum,Oceanus Procellarum,oceanus,-10.0,-57.4,2568.0,IAU/USGS,"The Ocean of Storms is the only feature on the Moon designated an oceanus. It is the largest volcanic region on the Moon, covering roughly 2.5 million square kilometres on the western near side. The region shows evidence of prolonged and episodic volcanism spanning over a billion years. Apollo 12 landed in its southeastern portion in November 1969."
mare_frigoris,Mare Frigoris,mare,56.0,1.4,1596.0,IAU/USGS,"The Sea of Cold is a narrow, elongated mare running along the northern portion of the near side. It extends approximately 1596 km from west to east and averages only about 100 km in width, making it the most elongated of the major maria. Its northern boundary approaches 65° latitude and connects several distinct highland terrains."
mare_nubium,Mare Nubium,mare,-21.3,-16.6,715.0,IAU/USGS,"The Sea of Clouds lies in the southern hemisphere of the near side. It occupies an old, heavily degraded multi-ring impact basin and features several prominent impact craters on and around its floor, including Bullialdus. The mare material here is relatively thin, and ancient basin rings protrude through the basalt as islands of highland terrain."
crater_tycho,Tycho,crater,-43.3,-11.2,86.0,IAU/USGS,"Tycho is one of the most conspicuous impact craters on the Moon, famous for its prominent ray system that extends across nearly the entire near side. It is approximately 86 km in diameter and 4.8 km deep, with a well-preserved central peak rising about 2 km above its floor. The rays, composed of bright ejecta, indicate a geologically young age of roughly 108 million years. Surveyor 7 landed near Tycho's northern rim in 1968."
crater_copernicus,Copernicus,crater,9.7,-20.0,93.0,IAU/USGS,"Copernicus is a prominent lunar impact crater about 93 km in diameter located on the Oceanus Procellarum. Often called the 'Monarch of the Moon', it has terraced inner walls, a complex central peak group rising about 1.2 km, and a well-preserved ray system extending up to 800 km. The crater is approximately 800 million years old, placing its formation in the Copernican geologic period named in its honour."
crater_clavius,Clavius,crater,-58.4,-14.4,231.0,IAU/USGS,"Clavius is one of the largest impact craters on the near side of the Moon, with a diameter of about 231 km. Its floor hosts a distinctive curved chain of progressively smaller craters — Porter, Rutherfurd, and others — formed by secondary impacts. A fictional Moon base named Clavius Base is featured prominently in Stanley Kubrick's film 2001: A Space Odyssey."
crater_aristarchus,Aristarchus,crater,23.7,-47.4,40.0,IAU/USGS,"Aristarchus is the brightest large crater on the near side, with an albedo significantly higher than its surroundings. It is 40 km in diameter and 3.7 km deep, with complex terraced walls and a central peak. The plateau to its north, Aristarchus Plateau, is the site of numerous transient lunar phenomena reports and contains the Schröter's Valley rille — the largest lunar rille observable from Earth."
crater_plato,Plato,crater,51.6,-9.4,101.0,IAU/USGS,"Plato is a prominent walled plain in the northern portion of the lunar near side, between Mare Imbrium and Mare Frigoris. It is 101 km in diameter with an unusually flat, dark basaltic floor that was flooded by lava after the original impact. The dark floor contrasts sharply with the bright surrounding highlands, making Plato easily recognisable from Earth with small telescopes."
crater_kepler,Kepler,crater,8.1,-38.0,32.0,IAU/USGS,"Kepler is a prominent impact crater on the Oceanus Procellarum, about 32 km in diameter with well-developed ray systems. Like nearby Copernicus, its bright ejecta rays confirm a geologically recent age. The crater is named after German astronomer Johannes Kepler, discoverer of the laws of planetary motion."
surveyor_crater,Surveyor Crater,crater,-3.02,-23.42,0.2,IAU/USGS,"This crater was named for the Surveyor 3 spacecraft, which landed within the crater, near the east rim. Apollo 12 landed just north of the Surveyor Crater on November 19, 1969. Astronauts Pete Conrad and Alan Bean removed several pieces of Surveyor 3 before returning to the lunar module."
montes_apenninus,Montes Apenninus,mountain_range,18.9,-3.1,600.0,IAU/USGS,"The Lunar Apennines form the southeastern rim of the Mare Imbrium basin, stretching approximately 600 km. They include Mons Huygens, the highest point on the Moon's near side at about 5.5 km above the surrounding plains. Apollo 15 landed at their southern foothills in the Hadley-Apennine region, where crew explored the Hadley Rille and collected some of the geologically oldest lunar samples, including the Genesis Rock."
south_pole_aitken_basin,South Pole–Aitken Basin,impact_basin,-53.0,191.0,2500.0,IAU/USGS,"The South Pole–Aitken Basin is the largest, deepest, and oldest confirmed impact crater in the Solar System, spanning approximately 2500 km and reaching depths of up to 8 km below the surrounding surface. Located on the far side of the Moon, it exposes some of the deepest crustal and possibly mantle material. Permanently shadowed regions within the basin are prime candidates for water-ice deposits, making it a priority target for future exploration by the Artemis programme."
vallis_schroteri,Vallis Schröteri,valley,26.2,-50.8,168.0,IAU/USGS,"Schröter's Valley is the largest known sinuous rille on the Moon, originating near the Aristarchus Plateau and extending approximately 160 km to the northwest. With a maximum width of about 10 km and depth reaching 1 km, it is thought to have formed by the collapse of an ancient lava tube or by the erosive action of flowing lava. It served as a landmark for early telescopic observers and is named after the German astronomer Johann Hieronymus Schröter."
mount_marilyn,Mount Marilyn,mountain_range,1.13,40.0,,IAU/USGS,"Mount Marilyn (officially Secchi theta) is a lunar mountain within the Montes Secchi range, situated between Mare Fecunditatis to the east and Mare Tranquillitatis to the west. It was informally named by astronaut Jim Lovell for his wife Marilyn during the Apollo 8 mission in 1968, and the name was officially recognised by the International Astronomical Union on 26 July 2017. The mountain served as a landmark and navigation reference during the Apollo missions — it was used by the crew of Apollo 10 to verify their descent trajectory, and Jim Lovell pointed it out to his wife in the 1995 film Apollo 13. A small crater at its north tip is known as Secchi O."
statio_tranquillitatis,Statio Tranquillitatis (Apollo 11),landing_site,0.674,23.473,,NASA,"Tranquility Base is the historic landing site of Apollo 11, the first crewed Moon landing. Neil Armstrong and Buzz Aldrin touched down on 20 July 1969 at 0°40′27″N, 23°28′23″E in Mare Tranquillitatis. They spent 2 hours 31 minutes on the surface, collected 21.55 kg of samples, and left a plaque reading 'We came in peace for all mankind'. The Eagle Lunar Module descent stage and equipment remain at the site."
apollo_12_landing,Apollo 12 Landing Site,landing_site,-3.013,-23.419,,NASA,"Apollo 12 landed on 19 November 1969 in Oceanus Procellarum near the Surveyor 3 spacecraft. Pete Conrad and Alan Bean performed two EVAs, retrieving parts of Surveyor 3 for analysis and collecting 34.35 kg of lunar material. The site demonstrated a high-precision landing capability within walking distance of the unmanned probe."
apollo_14_landing,Apollo 14 — Fra Mauro,landing_site,-3.645,-17.472,,NASA,"Apollo 14 landed on 5 February 1971 in the Fra Mauro highlands, the same target region originally assigned to the ill-fated Apollo 13 mission. Alan Shepard and Edgar Mitchell performed two EVAs, covering 3.45 km on foot and collecting 42.28 kg of samples including fragments thought to originate from deep within the lunar crust ejected by the Imbrium impact. Shepard famously hit two golf balls with a makeshift club during the second EVA, making him the only person to play golf on the Moon."
